매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
메가MGC커피 인천연수문남점,인천 연수구 새말로45번길 2 1층 102호,,6,1800,1800,190000,17509,42.6,0,7,550,3,0,0
메가MGC커피 인천만수점,인천 남동구 담방로 36 인아프라자 1층 101호,,6,2100,6000,630000,22040,42.7,0,20,450,1,0,19
메가MGC커피 영종운서중앙점,인천 중구 흰바위로 258 1층 110호,,6,3600,25000,170000,8681,59,0,8,200,0,0,8
메가MGC커피 인천가좌트루엘점,"인천 서구 열우물로240번길 20 가재울역트루엘에코시티아파트 상가 B동 116,119호",,6,1700,29000,87000,9606,33.9,6739,5,500,1,0,1
메가MGC커피 구월정각초점,인천 남동구 용천로 82 다옴프라자 1층 106호,,6,2500,36000,460000,45246,44.7,0,12,550,4,0,3
메가MGC커피 인천한화에코점,인천 남동구 에코중앙로156번길 5-27 1층,,6,1700,2700,160000,16343,28.5,0,6,700,1,0,1
메가MGC커피 굴포천역점,인천 부평구 장제로 211 명지빌딩 1층,,6,1000,2400,400000,31931,40,18509,14,350,2,0,26
메가MGC커피 부평산곡중앙점,인천 부평구 원적로 296 1층,,6,1000,2100,88000,20490,24.1,0,4,650,2,0,3
메가MGC커피 인천동수로점,인천 부평구 동수로120번길 11 상가동 1층,,6,1600,19000,93000,17856,41.8,0,3,640,1,0,15
메가MGC커피 송도학원가점,인천 연수구 신송로 160 더넥서스빌딩 1층 104호,,6,1700,51000,1660000,16850,26.9,0,41,350,1,0,23
메가MGC커피 인천화평점,인천 동구 운교로 6 1층,,6,1900,4900,110000,16189,48.4,0,7,530,2,0,3
메가MGC커피 부평일신점,인천 부평구 일신로14번길 24 유한빌딩 1층,,6,2200,4000,300000,15260,31.9,0,7,530,2,0,12
메가MGC커피 구월아시아드점,인천 남동구 선수촌공원로 25 신세계프라자 1층 102호,,6,1300,7900,480000,11762,48.6,0,22,470,0,0,17
메가MGC커피 주안센트레빌점,인천 미추홀구 석정로 438 1층,,6,2200,2200,370000,28444,49.2,14907,15,430,0,0,27
메가MGC커피 인천논곡점,인천 남동구 남동대로370번길 125 103호,,6,2100,3400,67000,7444,41.5,0,2,1250,1,0,2
메가MGC커피 인천부개점,인천 부평구 수변로 58 1층,,6,1700,1900,480000,25302,35.6,16226,16,350,1,0,11
메가MGC커피 인천법원삼거리점,인천 미추홀구 소성로 162 다송빌딩 1층,,6,3200,3200,440000,16854,36.1,0,16,270,0,0,26
메가MGC커피 인천오류왕길점,인천 서구 봉화로 49 1층,,6,6800,6800,130000,9501,32.4,0,5,1460,2,0,1
메가MGC커피 인천논현에코점,인천 남동구 논고개로 77 에코타워 1층 106~107호,,6,1600,16000,1010000,24026,36.5,10978,27,430,0,0,17
메가MGC커피 인천마전역점,인천 서구 완정로 70 영남탑스빌아파트 상가 1층 118호,,6,2000,25000,300000,23097,35,7444,10,330,3,0,10
메가MGC커피 청라도담초점,인천 서구 청라루비로42번길 6-28 1층,,6,1500,3400,410000,21504,27.6,0,15,400,2,0,1
메가MGC커피 인천검암2지구점,인천 서구 승학로 567 1층 2호,,6,1300,2900,200000,12658,40.1,0,10,870,2,0,14
메가MGC커피 부평해링턴플레이스점,인천 부평구 동수로 28 샬렛주상아파트상가 1층 105호,,6,2000,8900,150000,19619,44.7,7124,12,350,2,0,16
메가MGC커피 인천화전초교점,인천 계양구 효서로 305 1층,,6,1500,1300,160000,31214,35,0,7,400,1,0,7
메가MGC커피 용남시장점,인천 미추홀구 인주대로 264 1층,,6,1900,1900,180000,21767,49.7,0,7,630,1,0,5
메가MGC커피 부평모다점,인천 부평구 부평문화로 42 1층 101호,,6,2300,17000,1490000,24021,43.2,0,50,300,2,0,44
메가MGC커피 인천간석올리브점,인천 남동구 석산로 156 간석래미안자이아파트 상가1동 101-1호,,6,1700,13000,490000,32857,44.2,0,16,350,1,0,17
