매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
컴포즈커피 인천가좌시장점,인천 서구 장고개로337번길 18-3 영프라자 102호,,4,1200,110000,640000,30894,37.5,0,13,330,3,0,8
컴포즈커피 인천주안힐스테이트후문점,인천 미추홀구 인주대로 325 1층,,4,2100,2100,160000,27901,50,0,4,610,3,0,16
컴포즈커피 송도스마트밸리점,인천 연수구 송도미래로 30 F동 2층 215호,,4,1400,87000,130000,2703,32.8,0,10,500,1,0,3
컴포즈커피 인천용현토금점,인천 미추홀구 토금남로 2 노블레스상가 1층 105호,,4,1500,4400,460000,22630,40,0,12,450,2,0,14
컴포즈커피 인천신현점,인천 서구 가정로 372 1층,,4,1400,3200,660000,36429,36.3,11110,16,420,0,0,21
컴포즈커피 인천장기점,인천 계양구 황어로126번길 2 C.I PLAZA 1층,,4,1700,3200,100000,7374,33.7,0,6,1800,2,0,10
컴포즈커피 청라시티타워점,인천 서구 솔빛로 86 103호,,4,1000,5300,200000,14328,29.3,0,12,930,4,0,4
컴포즈커피 인천굴포천점,인천 부평구 장제로 205 1층,,4,2100,2100,330000,32383,40.2,18509,14,440,3,0,38
컴포즈커피 부평문화의거리점,인천 부평구 부평문화로80번길 8 1층,,4,1200,4300,2560000,31125,46.3,13714,73,300,1,0,109
컴포즈커피 청라지젤엠점,인천 서구 청라에메랄드로 99 1층 7호,,4,2000,170000,1060000,21633,28.8,0,31,320,0,0,13
컴포즈커피 인천성지초등학교점,인천 계양구 아나지로247번길 11 모닝프라자 1층,,4,1000,18000,400000,22777,34.3,0,11,330,3,0,16
컴포즈커피 인천수봉공원점,인천 미추홀구 수봉로 150-1,,4,1000,1000,24000,16172,49.9,0,0,570,1,0,2
컴포즈커피 부평동수로점,인천 부평구 경인로1024번길 21 e편한세상부평역어반루체 근린생활시설 108호,,4,1000,1200,210000,27301,42.3,0,6,730,3,0,30
컴포즈커피 신기시장점,인천 미추홀구 인하로266번길 3 1층,,4,3000,3100,680000,34459,41.8,0,16,420,1,0,17
컴포즈커피 인천동양점,인천 계양구 양지로 8 1층,,4,1900,1900,170000,14247,30.2,0,8,1000,1,0,5
